Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Possess Narcotic Cntl Sub (M),21-1657,11/23/2021 02:12,11/23/2021  02:12,"10 Puerta Del Sol, 10000 Adobe Circle Rd North, Irvine",Cleared By Adult Arrest 11/23/2021
Outside Warrant Arrest: Misd,21-1657,11/23/2021 02:12,11/23/2021  02:12,"10 Puerta Del Sol, 10000 Adobe Circle Rd North, Irvine",Cleared By Adult Arrest 11/23/2021
Vandalism: Less thn $400/Damages,21-1657,11/23/2021 02:12,11/23/2021  02:12,"10 Puerta Del Sol, 10000 Adobe Circle Rd North, Irvine",Cleared By Adult Arrest 11/23/2021
Petty Theft,21-1653,11/22/2021 17:06,11/22/2021  16:15 - 16:45,"Humanities Hall, 601 Humanities Quad, Irvine",Inactive 11/22/2021
Petty Theft,21-1652,11/22/2021 16:44,11/22/2021  08:00 - 16:20,"Arroyo Vista Housing, 1058 Arroyo Dr, Irvine",Inactive 11/22/2021
Grand Theft:Money/Prop/Etc $950+,21-1650,11/22/2021 12:50,11/17/2021  13:00 - 11/18/2021 11:00,"8700 Palo Verde Rd, Irvine",Inactive 11/22/2021
Sexual Penetration With Force/Etc.,21-1645,11/21/2021 21:05,11/20/2021  01:35,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/22/2021
Rape By Force/Fear/Etc,21-1645,11/21/2021 21:05,11/20/2021  01:35,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/22/2021
Petty Theft,21-1643,11/21/2021 15:01,11/19/2021  23:00 - 11/20/2021 12:00,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/21/2021
Extortion,21-1639,11/20/2021 21:43,11/20/2021  21:43,"Middle Earth Housing, 523 E Peltason Dr, Irvine",Pending 10/20/2021
Vandalism: $400 or More/Damages,21-1631,11/19/2021 14:09,"11/19/2021, Unknown Time","Campus General Area, 1 W Peltason Dr, Irvine",Inactive 11/19/2021
Threaten Crime: Intent Terrorize,21-1623,11/18/2021 16:43,11/16/2021  12:14,"Student Center, 113 Gateway Quad, Irvine",Pending 11/18/2021
Theft by False Pretenses $950+ (F),21-1622,11/18/2021 15:07,11/01/2021  07:40,"Mesa Court Housing, 4047 Mesa Rd, Irvine",Pending 11/18/2021
Petty Theft,21-1620,11/18/2021 14:58,11/11/2021  17:00 - 11/18/2021 14:00,"Vista Del Campo Norte, Irvine, 29600 Arroyo Dr, Irvine",Inactive 11/18/2021
Petty Theft,21-1619,11/18/2021 12:02,11/18/2021  08:50 - 11/18/2021 12:00,"Anteater Parking Structure, 651 E Peltason Dr, Irvine",Inactive 11/19/2021
Petty Theft,21-1613,11/17/2021 11:07,11/17/2021  10:54 - 11/17/2021 10:56,"Howard Schneiderman Lecture Hall, 501 Biological Sciences Quad, Irvine",Inactive 11/17/2021
Obtain Credit/Etc:Use Oth ID (M),21-1604,11/15/2021 13:38,Unknown Time,"University Hills, 24 Urey Ct, Irvine",Inactive 11/15/2021
Petty Theft,21-1603,11/15/2021 13:09,11/15/2021  10:30 - 11/15/2021 12:00,"Social Science Plaza B, 213 Social Sciences Quad, Irvine",Inactive 11/15/2021
Battery Peace Ofcr/Emerg Persnl/Etc,21-1600,11/14/2021 15:01,11/14/2021  15:01,"10 Puerta Del Sol, 11317 Adobe Circle Rd North, Irvine",Cleared By Other Means 11/14/2021
Vehicle Theft/Take w/o Consent,21-1597,11/14/2021 08:02,11/13/2021  20:00 - 11/14/2021 07:45,"288 Vista Del Campo Norte, 28800 Arroyo Dr, Irvine",Pending 11/14/2021
Extortion,21-1595,11/14/2021 01:51,11/14/2021  01:00,"Middle Earth Housing, 511 E Peltason Dr, Irvine",Inactive 11/14/2021
Battery On Person,21-1593,11/12/2021 23:54,11/12/2021  23:54,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Referred Ofc of Dean 11/13/2021
Vandalism: Less thn $400/Damages,21-1593,11/12/2021 23:54,11/12/2021  23:54,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Referred Ofc of Dean 11/13/2021
Tamper With Vehicle,21-1591,11/12/2021 17:35,11/12/2021  11:55 - 17:10,"Lot 14, 14 Uci Parking Lot, Irvine",Inactive 11/12/2021
Grand Theft:Money/Prop/Etc $950+,21-1591,11/12/2021 17:35,11/12/2021  11:55 - 17:10,"Lot 14, 14 Uci Parking Lot, Irvine",Inactive 11/12/2021
Petty Theft,21-1589,11/12/2021 12:56,11/10/2021  15:00 - 12:15,"10 Puerta Del Sol, 10000 Adobe Circle Rd North, Irvine",Inactive 11/12/2021
Petty Theft,21-1584,11/11/2021 22:50,11/10/2021  20:00 - 11/11/2021 22:00,"Mesa Court Housing, 4039 Mesa Rd, Irvine",Inactive 11/12/2021
Petty Theft,21-1581,11/11/2021 15:49,11/07/2021  14:00 - 11/11/2021 14:00,"11 Puerta Del Sol, 11000 Adobe Circle Rd North, Irvine",Inactive 11/11/2021
